,lat,lon,minutes_remaining,period,playoffs,shot_distance,shot_made_flag
5522,33.8863,-118.2778,4,2,0,15,0.0
5523,34.0443,-118.2698,2,2,0,0,0.0
5524,34.0443,-118.2698,1,2,0,0,1.0
5525,34.0443,-118.2698,10,3,0,0,1.0
5528,33.9493,-118.1188,3,3,0,17,0.0
5530,34.0093,-118.1858,3,4,0,9,0.0
5531,33.8663,-118.4108,2,4,0,22,0.0
5532,33.9723,-118.0698,11,1,0,21,0.0
5533,33.9043,-118.3798,6,1,0,17,1.0
5534,33.9733,-118.2698,5,1,0,7,0.0
5536,33.8893,-118.1668,10,2,0,18,0.0
5537,34.0583,-118.1348,9,2,0,13,0.0
5538,33.9813,-118.2688,7,2,0,6,1.0
5539,33.8703,-118.1798,6,2,0,19,1.0
5540,34.0503,-118.4438,5,2,0,17,0.0
5541,34.0183,-118.3588,4,2,0,9,1.0
5542,33.8603,-118.2108,2,2,0,19,0.0
5543,34.0343,-118.0598,8,3,0,21,0.0
5545,34.0443,-118.2698,6,3,0,0,0.0
5546,33.9863,-118.0808,4,3,0,19,1.0
5548,34.0443,-118.2698,10,4,0,0,1.0
5551,33.9503,-118.2008,8,4,0,11,1.0
5552,34.0443,-118.2698,6,4,0,0,0.0
5554,34.0443,-118.2698,4,4,0,0,0.0
5555,34.0443,-118.2698,10,1,0,0,0.0
5556,34.0493,-118.4238,9,1,0,15,1.0
5557,33.9013,-118.2538,4,1,0,14,1.0
5561,34.0443,-118.2698,0,1,0,0,1.0
5563,33.8603,-118.3868,10,2,0,21,1.0
5564,33.9403,-118.3648,9,2,0,14,1.0
5565,34.0443,-118.2698,4,2,0,0,0.0
5566,34.0443,-118.2698,3,2,0,0,1.0
5567,33.9453,-118.4488,2,2,0,20,0.0
5568,34.0443,-118.2698,1,2,0,0,0.0
5569,34.0443,-118.2698,11,3,0,0,1.0
5571,34.0443,-118.2698,9,3,0,0,0.0
5572,33.9443,-118.1628,4,3,0,14,0.0
5573,33.9833,-118.3438,3,3,0,9,0.0
5574,33.9653,-118.1318,6,1,0,15,1.0
5577,34.0443,-118.2698,3,1,0,0,0.0
5578,34.0343,-118.2878,2,1,0,2,1.0
5579,34.0443,-118.2698,1,1,0,0,0.0
5580,34.0443,-118.2698,0,1,0,0,1.0
5581,33.8243,-118.3158,2,2,0,22,0.0
5582,33.9193,-118.1188,11,1,0,19,1.0
5583,34.0443,-118.2698,10,1,0,0,0.0
5584,33.8383,-118.1988,9,1,0,21,1.0
5585,33.9293,-118.1218,6,1,0,18,1.0
5586,33.8653,-118.2648,5,1,0,17,1.0
5587,33.8763,-118.3088,4,1,0,17,0.0
5589,33.9933,-118.2648,3,1,0,5,0.0
5590,33.8913,-118.3498,11,2,0,17,0.0
5592,33.9043,-118.1118,0,2,0,21,1.0
5599,34.0133,-118.1758,5,1,0,9,1.0
5600,34.0443,-118.2698,2,1,0,0,1.0
5601,34.0443,-118.2698,11,2,0,0,1.0
5602,33.9633,-118.2638,10,2,0,8,0.0
5603,34.0443,-118.2698,9,2,0,0,0.0
5604,33.9243,-118.1828,9,2,0,14,1.0
5607,34.0443,-118.2698,10,3,0,0,0.0
5608,33.9733,-118.2988,9,3,0,7,0.0
5609,33.9403,-118.1928,7,3,0,12,0.0
5610,34.0443,-118.2698,7,3,0,0,1.0
5612,34.0133,-118.2188,4,1,0,5,0.0
5618,34.0443,-118.1258,2,4,0,14,0.0
5619,34.0033,-118.2188,9,1,0,6,0.0
5620,34.0443,-118.2698,5,1,0,0,0.0
5621,34.0443,-118.2698,5,1,0,0,1.0
5622,34.0443,-118.2698,11,2,0,0,1.0
5623,33.8653,-118.3548,9,2,0,19,1.0
5627,34.0443,-118.2698,3,2,0,0,0.0
5628,34.0263,-118.3338,1,2,0,6,0.0
5629,34.0443,-118.2698,0,2,0,0,0.0
5630,34.0443,-118.2698,0,2,0,0,0.0
5631,34.0443,-118.2698,11,3,0,0,0.0
5632,34.0443,-118.2698,8,3,0,0,1.0
5633,33.9753,-118.3368,7,3,0,9,1.0
5634,34.0293,-118.2538,4,3,0,2,1.0
5635,33.9243,-118.4048,3,3,0,18,1.0
5636,34.0443,-118.2698,6,4,0,0,1.0
5637,34.0363,-118.3958,5,4,0,12,0.0
5638,34.0443,-118.2698,4,4,0,0,1.0
5639,34.0443,-118.2698,2,4,0,0,1.0
5642,34.0273,-118.3108,10,1,0,4,0.0
5643,34.0243,-118.2058,6,1,0,6,1.0
5644,34.0443,-118.2698,9,2,0,0,1.0
5646,34.0393,-118.2828,6,2,0,1,1.0
5647,33.9523,-118.1548,0,2,0,14,1.0
5648,34.0443,-118.2698,11,3,0,0,1.0
5649,34.0323,-118.4538,10,3,0,18,1.0
5650,34.0443,-118.2698,9,3,0,0,1.0
5651,33.9473,-118.2698,9,3,0,9,1.0
5652,33.9883,-118.3218,8,3,0,7,0.0
5653,34.0443,-118.2698,7,3,0,0,1.0
5654,34.0443,-118.2698,5,3,0,0,1.0
5655,33.9353,-118.3888,2,3,0,16,0.0
5656,33.9683,-118.3008,0,3,0,8,0.0
5657,33.9883,-118.4258,1,4,0,16,1.0
5659,33.9723,-118.3998,10,1,0,14,0.0
5660,34.0443,-118.2698,10,1,0,0,1.0
5661,33.9993,-118.3768,3,1,0,11,1.0
5662,33.9933,-118.3878,1,1,0,12,0.0
5664,33.9063,-118.3918,10,2,0,18,0.0
5666,34.0443,-118.2698,8,2,0,0,1.0
5667,33.9933,-118.1158,6,2,0,16,0.0
5668,34.0443,-118.2698,3,2,0,0,1.0
5669,34.0143,-118.3598,10,3,0,9,1.0
5671,34.0443,-118.2698,8,4,0,0,1.0
5672,34.0503,-118.3598,8,4,0,9,0.0
5675,34.0083,-118.1908,4,4,0,8,0.0
5677,34.0443,-118.2698,10,1,0,0,1.0
5679,34.0443,-118.2698,5,1,0,0,0.0
5683,33.9533,-118.4098,11,2,0,16,0.0
5684,34.0443,-118.2698,9,2,0,0,1.0
5685,33.9633,-118.2718,8,2,0,8,1.0
5687,34.0443,-118.2698,3,2,0,0,0.0
5688,33.9623,-118.1398,1,2,0,15,0.0
5689,33.9213,-118.1418,11,3,0,17,0.0
5690,34.0443,-118.2698,9,3,0,0,1.0
5691,33.8153,-118.2688,7,3,0,22,0.0
5692,34.0443,-118.2698,6,3,0,0,1.0
5693,34.0443,-118.2698,0,3,0,0,1.0
5694,34.0443,-118.2698,10,4,0,0,1.0
5695,34.0443,-118.2698,10,4,0,0,1.0
5696,34.0443,-118.2698,9,4,0,0,1.0
5697,33.9063,-118.2388,9,4,0,14,1.0
5698,34.0443,-118.2698,7,4,0,0,0.0
5700,34.0443,-118.2698,0,4,0,0,1.0
5701,34.0443,-118.2698,11,1,0,0,1.0
5702,34.0533,-118.1088,10,1,0,16,1.0
5703,33.9653,-118.4408,3,1,0,18,0.0
5704,34.0443,-118.2698,3,1,0,0,1.0
5705,33.9883,-118.1418,1,1,0,13,1.0
5706,33.9763,-118.2568,0,1,0,6,0.0
5707,34.0113,-118.2318,0,1,0,5,1.0
5708,33.9953,-118.2858,8,2,0,5,0.0
5709,34.0443,-118.2698,7,2,0,0,1.0
5710,33.9783,-118.1578,7,2,0,13,0.0
5711,34.0443,-118.2698,7,2,0,0,1.0
5713,33.9813,-118.2728,6,2,0,6,0.0
5715,34.0443,-118.2698,10,3,0,0,1.0
5716,34.0143,-118.2128,2,3,0,6,1.0
5718,34.0163,-118.1978,0,3,0,7,0.0
5721,34.0443,-118.2698,6,4,0,0,0.0
5722,34.0443,-118.2698,6,4,0,0,1.0
5723,34.0443,-118.2698,3,4,0,0,1.0
5724,33.9403,-118.3088,2,4,0,11,0.0
5727,34.0443,-118.2698,10,1,0,0,1.0
5728,34.0443,-118.2698,9,1,0,0,1.0
5729,33.9993,-118.3058,7,1,0,5,1.0
5730,34.0013,-118.2958,1,1,0,5,0.0
5731,33.9573,-118.3648,1,1,0,12,0.0
5732,33.8583,-118.3258,0,1,0,19,0.0
5733,33.9863,-118.3748,0,1,0,11,0.0
5734,34.0443,-118.2698,6,2,0,0,0.0
5735,33.9393,-118.3588,5,2,0,13,0.0
5736,34.0133,-118.3618,4,2,0,9,1.0
5738,34.0443,-118.2698,10,3,0,0,1.0
5739,33.9933,-118.1118,9,3,0,16,1.0
5741,34.0443,-118.2698,7,3,0,0,1.0
5744,34.0033,-118.3038,2,3,0,5,0.0
5746,34.0093,-118.1908,11,4,0,8,0.0
5747,34.0443,-118.2698,11,4,0,0,1.0
5748,34.0363,-118.3958,9,4,0,12,0.0
5749,34.0443,-118.2698,4,4,0,0,0.0
5751,33.9523,-118.2228,3,4,0,10,0.0
5755,34.0453,-118.2668,11,1,0,0,1.0
5756,34.0323,-118.2698,10,1,0,1,1.0
5757,34.0833,-118.4358,3,1,0,17,1.0
5758,33.9473,-118.4078,2,1,0,16,1.0
5759,33.9303,-118.2158,1,1,0,12,0.0
5761,33.8783,-118.1258,0,2,0,21,0.0
5762,34.0393,-118.2778,11,3,0,0,0.0
5767,34.0323,-118.2088,10,4,0,6,0.0
5768,34.0813,-118.1318,9,4,0,14,1.0
5769,34.0133,-118.2548,7,4,0,3,0.0
5770,34.0373,-118.2368,6,4,0,3,0.0
5771,33.9833,-118.3208,9,1,0,7,1.0
5772,34.0523,-118.4458,5,1,0,17,0.0
5774,34.0443,-118.2698,11,2,0,0,0.0
5775,34.0293,-118.1908,3,2,0,8,0.0
5778,33.9783,-118.2468,9,3,0,6,0.0
5780,34.0443,-118.2698,3,3,0,0,1.0
5784,34.0443,-118.2698,7,1,0,0,1.0
5785,34.0443,-118.2698,3,1,0,0,1.0
5786,33.9993,-118.2238,2,1,0,6,1.0
5787,33.9783,-118.3728,0,1,0,12,0.0
5789,34.0183,-118.4518,3,2,0,18,0.0
5790,33.9653,-118.3848,3,2,0,13,0.0
5791,33.9783,-118.1958,3,2,0,9,1.0
5794,34.0293,-118.1758,9,3,0,9,1.0
5795,33.9983,-118.2418,8,3,0,5,0.0
5797,34.0443,-118.2698,11,4,0,0,1.0
5798,33.9603,-118.3238,11,4,0,9,0.0
5799,34.0043,-118.3088,5,4,0,5,0.0
5801,33.8703,-118.1368,0,4,0,21,1.0
5803,33.8933,-118.3818,4,1,0,18,1.0
5804,34.0013,-118.2058,8,2,0,7,0.0
5805,34.0453,-118.2468,0,2,0,2,0.0
5806,34.0293,-118.2898,0,2,0,2,1.0
5808,34.0443,-118.3818,8,3,0,11,1.0
5811,33.9963,-118.3288,3,3,0,7,0.0
5813,33.9323,-118.4158,8,4,0,18,0.0
5814,33.9683,-118.2648,7,4,0,7,0.0
5815,34.0363,-118.2598,7,4,0,1,1.0
5818,34.0523,-118.0978,10,1,0,17,0.0
5819,34.0263,-118.4838,8,1,0,21,0.0
5820,34.0443,-118.2698,5,1,0,0,0.0
5822,33.9783,-118.2778,3,1,0,6,1.0
5823,34.0443,-118.2698,8,2,0,0,0.0
5824,34.0573,-118.0928,6,2,0,17,0.0
5825,34.0083,-118.3338,5,2,0,7,0.0
5826,34.0443,-118.2698,5,2,0,0,0.0
5827,33.8503,-118.1988,5,2,0,20,0.0
5829,33.9933,-118.4518,11,3,0,18,0.0
5830,34.0443,-118.2698,10,3,0,0,1.0
5831,33.8883,-118.3868,10,3,0,19,1.0
5832,33.8453,-118.1678,9,3,0,22,1.0
5833,34.0143,-118.0828,8,3,0,18,0.0
5834,34.0443,-118.2698,4,3,0,0,1.0
5838,33.9353,-118.1288,11,1,0,17,1.0
5839,34.0143,-118.1858,8,1,0,8,1.0
5842,34.0193,-118.1398,5,2,0,13,1.0
5843,33.9753,-118.3258,4,2,0,8,0.0
5844,34.0443,-118.2698,4,2,0,0,1.0
5847,33.9953,-118.2108,10,3,0,7,1.0
5848,34.0443,-118.2698,9,3,0,0,1.0
5850,34.0443,-118.2698,4,3,0,0,0.0
5851,33.9883,-118.2338,4,3,0,6,0.0
5852,34.0063,-118.4338,2,3,0,16,0.0
5855,34.0013,-118.3978,6,4,0,13,0.0
5856,34.0443,-118.2698,5,4,0,0,1.0
5858,33.9393,-118.3408,3,4,0,12,0.0
5859,33.9323,-118.4338,2,4,0,19,1.0
5860,34.0443,-118.2698,1,4,0,0,1.0
5861,34.0443,-118.2698,1,4,0,0,0.0
5863,33.9633,-118.3818,10,1,0,13,0.0
5864,33.9903,-118.3138,3,1,0,6,0.0
5865,34.0443,-118.2698,4,2,0,0,0.0
5867,34.0453,-118.3568,11,3,0,8,1.0
5871,34.0443,-118.2698,7,3,0,0,0.0
5872,34.0443,-118.2698,7,3,0,0,1.0
5873,34.0673,-118.3728,5,3,0,10,1.0
5874,33.9583,-118.2368,0,3,0,9,1.0
5876,34.0443,-118.2698,9,4,0,0,1.0
5877,33.8423,-118.2858,9,4,0,20,1.0
5878,34.0473,-118.4608,7,4,0,19,1.0
5882,34.0393,-118.0648,2,4,0,20,1.0
5883,33.9993,-118.1068,2,4,0,16,1.0
5884,34.0503,-118.0978,1,4,0,17,0.0
5885,34.0443,-118.2698,0,4,0,0,1.0
5887,34.0443,-118.2698,4,5,0,0,1.0
5888,33.9993,-118.3208,0,5,0,6,0.0
5889,34.0443,-118.2698,11,1,0,0,1.0
5890,33.9983,-118.2188,9,1,0,6,1.0
5891,33.9013,-118.4028,0,1,0,19,1.0
5892,34.0363,-118.1138,11,2,0,15,0.0
5893,34.0443,-118.2698,10,2,0,0,1.0
5894,34.0443,-118.2698,3,2,0,0,1.0
5896,34.0293,-118.1528,8,3,0,11,0.0
5897,34.0443,-118.2698,6,3,0,0,1.0
5899,33.9193,-118.2598,3,3,0,12,1.0
5901,34.0343,-118.3928,11,4,0,12,1.0
5902,34.0443,-118.2698,10,4,0,0,0.0
5903,34.0443,-118.2698,9,4,0,0,1.0
5904,33.9633,-118.4358,4,4,0,18,1.0
5907,33.9243,-118.1648,6,1,0,15,1.0
5908,33.8733,-118.3948,5,1,0,21,0.0
5909,34.0443,-118.2698,1,1,0,0,0.0
5910,33.9373,-118.2138,3,2,0,12,1.0
5911,34.0443,-118.2698,2,2,0,0,1.0
5912,34.0473,-118.1238,0,2,0,14,1.0
5913,34.0443,-118.2698,10,3,0,0,1.0
5914,33.9603,-118.2748,8,3,0,8,0.0
5915,34.0443,-118.2698,7,3,0,0,1.0
5916,33.8523,-118.2728,6,3,0,19,0.0
5917,34.0443,-118.2698,4,3,0,0,0.0
5918,34.0443,-118.2698,1,3,0,0,1.0
5919,33.9403,-118.2878,0,3,0,10,0.0
5920,33.8553,-118.1878,7,4,0,20,0.0
5922,33.9113,-118.3958,5,4,0,18,0.0
5923,34.0443,-118.2698,3,4,0,0,1.0
5925,34.0443,-118.2698,1,4,0,0,1.0
5926,33.8653,-118.1578,10,1,0,21,0.0
5928,34.0443,-118.2698,8,1,0,0,0.0
5929,34.0263,-118.4388,2,1,0,16,0.0
5930,34.0413,-118.1948,0,1,0,7,0.0
5931,34.0443,-118.2698,3,2,0,0,1.0
5934,34.0443,-118.2698,7,3,0,0,0.0
5935,34.0443,-118.2698,6,3,0,0,1.0
5936,34.0443,-118.2698,5,3,0,0,1.0
5937,33.8583,-118.2808,5,4,0,18,1.0
5939,34.0443,-118.2698,2,4,0,0,0.0
5940,33.8523,-118.1978,0,4,0,20,0.0
5941,33.8433,-118.3598,3,5,0,22,0.0
5942,33.8883,-118.2778,0,5,0,15,1.0
5943,33.8553,-118.3768,11,1,0,21,1.0
5944,33.8783,-118.1798,11,1,0,18,1.0
5946,34.0443,-118.2698,8,1,0,0,1.0
5947,34.0443,-118.2698,7,1,0,0,1.0
5949,34.0443,-118.2698,2,1,0,0,0.0
5951,33.8713,-118.1518,0,1,0,20,0.0
5952,33.9803,-118.2468,6,2,0,6,0.0
5953,34.0443,-118.2698,3,2,0,0,1.0
5956,33.9323,-118.3238,10,3,0,12,0.0
5957,34.0193,-118.3718,9,3,0,10,1.0
5958,34.0113,-118.3368,7,3,0,7,1.0
5959,34.0443,-118.2698,6,3,0,0,0.0
5960,34.0623,-118.0938,4,3,0,17,0.0
5961,34.0443,-118.2698,0,3,0,0,1.0
5965,33.9753,-118.0878,3,4,0,19,0.0
5966,34.0443,-118.2698,11,1,0,0,1.0
5967,33.9163,-118.1498,10,1,0,17,1.0
5968,34.0443,-118.2698,9,1,0,0,0.0
5969,34.0083,-118.4058,8,1,0,14,0.0
5970,33.8883,-118.1548,4,1,0,19,1.0
5973,33.8373,-118.2538,8,2,0,20,0.0
5974,34.0443,-118.2698,2,2,0,0,1.0
5975,34.0343,-118.2598,1,2,0,1,1.0
5977,33.9063,-118.4008,11,3,0,19,0.0
5978,34.0443,-118.2698,10,3,0,0,1.0
5979,34.0443,-118.2698,9,3,0,0,1.0
5981,34.0443,-118.2698,7,3,0,0,1.0
5983,33.9013,-118.2258,2,3,0,14,1.0
5985,34.0673,-118.4288,6,4,0,16,1.0
5986,33.8713,-118.2268,4,4,0,17,0.0
5987,33.9753,-118.2718,11,1,0,6,1.0
5988,33.9583,-118.3258,10,1,0,10,1.0
5989,33.8663,-118.4098,8,1,0,22,0.0
5990,34.0443,-118.2698,5,1,0,0,1.0
5991,34.0553,-118.1188,3,1,0,15,0.0
5992,33.8913,-118.4188,2,1,0,21,0.0
5994,33.9783,-118.3848,0,2,0,13,0.0
5995,34.0013,-118.3358,11,3,0,7,0.0
5997,33.9863,-118.2238,8,3,0,7,0.0
5998,33.9723,-118.3388,7,3,0,9,0.0
5999,34.0133,-118.1958,7,3,0,8,0.0
6000,34.0093,-118.2128,7,3,0,6,1.0
6002,33.9723,-118.2308,0,3,0,8,0.0
6005,33.9193,-118.2958,9,4,0,12,1.0
6006,34.0443,-118.2698,8,4,0,0,1.0
6007,34.0443,-118.2698,4,4,0,0,0.0
6010,34.0443,-118.2698,10,1,0,0,0.0
6011,34.0443,-118.2698,9,1,0,0,0.0
6012,34.0113,-118.2338,6,1,0,4,1.0
6013,34.0443,-118.2698,3,1,0,0,0.0
6015,34.0443,-118.2698,0,1,0,0,1.0
6020,33.9983,-118.3128,0,2,0,6,0.0
6021,34.0443,-118.2698,11,3,0,0,1.0
6023,34.0523,-118.0838,2,3,0,18,1.0
6025,34.0443,-118.2698,10,4,0,0,0.0
6026,33.9603,-118.2368,9,4,0,9,0.0
6027,33.9263,-118.2778,10,1,0,11,0.0
6028,33.9813,-118.2698,9,1,0,6,1.0
6029,34.0063,-118.1978,3,1,0,8,0.0
6030,33.9983,-118.2748,3,1,0,4,0.0
6031,33.9273,-118.1388,10,2,0,17,1.0
6032,34.0443,-118.2698,10,2,0,0,1.0
6033,34.0443,-118.2698,8,2,0,0,1.0
6034,34.0443,-118.2698,5,2,0,0,1.0
6035,34.0193,-118.4188,3,2,0,15,0.0
6036,33.9193,-118.2208,0,2,0,13,0.0
6037,34.0293,-118.3358,6,3,0,6,0.0
6041,34.0443,-118.2698,2,3,0,0,1.0
6042,34.0443,-118.2698,1,3,0,0,0.0
6043,34.0443,-118.2698,4,4,0,0,0.0
6044,33.9603,-118.2928,4,4,0,8,1.0
6045,34.0013,-118.3128,4,4,0,6,0.0
6047,34.0573,-118.0958,6,1,0,17,0.0
6048,34.0423,-118.2988,5,1,0,2,0.0
6049,34.0473,-118.2258,3,1,0,4,0.0
6051,33.9653,-118.2698,5,2,0,7,1.0
6052,34.0243,-118.2408,4,2,0,3,0.0
6053,34.0443,-118.2698,3,2,0,0,1.0
6057,33.9143,-118.4418,2,3,0,21,0.0
6058,33.8993,-118.3718,10,4,0,17,0.0
6059,34.0133,-118.2808,6,4,0,3,1.0
6065,34.0443,-118.2698,9,1,0,0,0.0
6066,33.9373,-118.2178,7,1,0,11,1.0
6067,33.9393,-118.3918,4,1,0,16,0.0
6068,34.0443,-118.2698,2,1,0,0,1.0
6070,34.0443,-118.2698,0,1,0,0,0.0
6071,33.9013,-118.4008,11,2,0,19,0.0
6074,34.0343,-118.2288,3,2,0,4,0.0
6078,34.0443,-118.2698,10,3,0,0,1.0
6079,34.0443,-118.2698,9,3,0,0,1.0
6080,34.0473,-118.3958,9,3,0,12,1.0
6081,34.0443,-118.2698,7,3,0,0,0.0
6082,33.9393,-118.1088,4,3,0,19,0.0
6086,34.0163,-118.1028,9,4,0,16,0.0
6087,34.0223,-118.3308,9,4,0,6,0.0
6088,34.0443,-118.2698,6,4,0,0,1.0
6091,34.0623,-118.1398,8,1,0,13,0.0
6093,34.0223,-118.4178,4,1,0,14,0.0
6094,34.0093,-118.2988,4,1,0,4,0.0
6095,33.8753,-118.1758,11,2,0,19,1.0
6097,34.0443,-118.2698,7,2,0,0,0.0
6099,34.0443,-118.2698,7,2,0,0,0.0
6100,33.9723,-118.2208,3,2,0,8,0.0
6101,34.0443,-118.2698,2,2,0,0,1.0
6102,34.0443,-118.2698,2,2,0,0,0.0
6105,34.0443,-118.2698,9,3,0,0,0.0
6109,33.9623,-118.4718,0,3,0,21,1.0
6113,34.0443,-118.2698,9,1,0,0,1.0
6114,33.9753,-118.2408,8,1,0,7,1.0
6115,34.0443,-118.2698,7,1,0,0,0.0
6116,34.0443,-118.2698,5,1,0,0,0.0
6117,34.0443,-118.2698,2,1,0,0,0.0
6118,34.0113,-118.2138,2,1,0,6,0.0
6119,34.0443,-118.2698,1,1,0,0,0.0
6120,34.0503,-118.0978,1,1,0,17,1.0
6122,34.0443,-118.2698,6,2,0,0,1.0
6124,34.0443,-118.2698,4,2,0,0,1.0
6125,34.0443,-118.2698,4,2,0,0,1.0
6128,34.0443,-118.2698,8,3,0,0,0.0
6129,34.0443,-118.2698,1,3,0,0,0.0
6130,33.9523,-118.2678,5,2,0,9,0.0
6131,33.9833,-118.2318,11,4,0,7,0.0
6132,34.0703,-118.3928,10,4,0,12,0.0
6133,34.0443,-118.2698,8,4,0,0,1.0
6134,34.0573,-118.1268,4,4,0,14,0.0
6137,33.9013,-118.1348,10,3,0,19,0.0
6138,33.8583,-118.3618,4,3,0,20,0.0
6139,33.9763,-118.1038,3,3,0,17,1.0
6140,33.9863,-118.0858,1,3,0,19,1.0
6144,33.9343,-118.3848,8,4,0,15,0.0
6145,34.0443,-118.2698,8,4,0,0,0.0
6146,33.8573,-118.3468,5,4,0,20,0.0
6147,34.0443,-118.2698,4,4,0,0,0.0
6148,34.0443,-118.2698,3,4,0,0,0.0
6150,34.0443,-118.2698,11,1,0,0,0.0
6151,34.0633,-118.0758,10,1,0,19,0.0
6152,34.0443,-118.2698,8,1,0,0,1.0
6156,34.0443,-118.2698,2,1,0,0,1.0
6159,33.9213,-118.2698,0,1,0,12,1.0
6160,34.0443,-118.2698,6,2,0,0,1.0
6161,34.0113,-118.1058,5,2,0,16,1.0
6163,33.9523,-118.3188,0,2,0,10,0.0
6164,34.0443,-118.2698,0,2,0,0,1.0
6165,34.0293,-118.1298,11,3,0,14,0.0
6166,34.0443,-118.2698,6,3,0,0,1.0
6167,33.9073,-118.2138,3,3,0,14,0.0
6170,33.9043,-118.1978,11,4,0,15,1.0
6171,33.9263,-118.2088,6,4,0,13,0.0
6172,34.0443,-118.2698,6,4,0,0,1.0
6174,34.0443,-118.2698,3,4,0,0,0.0
6175,33.8993,-118.2408,2,4,0,14,0.0
6177,34.0443,-118.2698,0,4,0,0,1.0
6179,33.8893,-118.1488,10,1,0,19,1.0
6180,33.9623,-118.2648,9,1,0,8,1.0
6182,33.9533,-118.1108,5,1,0,18,0.0
6186,34.0443,-118.2698,3,2,0,0,1.0
6187,34.0093,-118.2488,1,2,0,4,1.0
6189,34.0443,-118.2698,9,3,0,0,0.0
6190,33.8883,-118.2358,4,3,0,15,1.0
6191,33.9273,-118.1218,3,3,0,18,0.0
6192,33.9453,-118.3158,3,3,0,10,0.0
6193,33.8323,-118.3108,2,3,0,21,1.0
6194,33.8603,-118.1878,1,3,0,20,1.0
6196,33.8653,-118.3828,11,4,0,21,1.0
6197,34.0363,-118.4568,10,4,0,18,1.0
6198,33.8813,-118.1118,8,4,0,22,0.0
6200,34.0473,-118.0828,1,4,0,18,0.0
6204,34.0443,-118.2698,3,6,0,0,0.0
6205,33.9293,-118.1238,2,6,0,18,0.0
6207,33.8523,-118.4028,0,6,0,23,0.0
6209,34.0473,-118.3748,10,1,0,10,0.0
6210,34.0423,-118.1778,2,1,0,9,0.0
6213,34.0533,-118.4258,11,3,0,15,1.0
6214,34.0443,-118.2698,9,3,0,0,0.0
6215,33.9423,-118.3978,5,3,0,16,0.0
6216,34.0443,-118.2698,4,3,0,0,1.0
6217,34.0293,-118.1208,0,3,0,14,0.0
6218,33.8383,-118.2978,11,4,0,20,1.0
6219,33.8353,-118.3568,3,4,0,22,0.0
6220,34.0443,-118.2698,1,4,0,0,0.0
6221,33.8913,-118.3978,1,4,0,19,0.0
6222,33.9273,-118.3358,0,4,0,13,1.0
6223,34.0033,-118.1758,11,1,0,10,0.0
6224,33.8863,-118.4148,4,1,0,21,0.0
6225,33.9063,-118.4388,1,1,0,21,0.0
6226,34.0443,-118.2698,1,1,0,0,1.0
6227,33.8273,-118.1748,0,1,0,23,0.0
6228,34.0443,-118.2698,10,2,0,0,0.0
6240,33.9493,-118.2058,8,4,0,11,1.0
6243,33.9453,-118.1008,6,4,0,19,1.0
6244,33.9833,-118.4058,6,1,0,14,1.0
6245,34.0443,-118.4028,4,1,0,13,0.0
6246,33.9853,-118.2648,1,1,0,5,1.0
6249,33.8733,-118.2078,10,2,0,18,0.0
6250,34.0133,-118.4288,9,2,0,16,1.0
6251,33.8913,-118.3948,6,2,0,19,0.0
6252,33.9123,-118.4048,4,2,0,18,1.0
6253,34.0443,-118.2698,3,2,0,0,1.0
6254,34.0343,-118.3978,0,2,0,12,0.0
6255,34.0443,-118.2698,11,3,0,0,0.0
6257,34.0443,-118.2698,10,4,0,0,0.0
6258,34.0293,-118.2088,9,4,0,6,0.0
6259,33.9633,-118.2458,9,4,0,8,1.0
6260,34.0143,-118.3408,7,4,0,7,1.0
6263,33.9883,-118.4718,4,4,0,20,0.0
6265,34.0443,-118.2698,0,4,0,0,0.0
6266,33.9113,-118.4518,4,1,0,22,0.0
6267,33.9013,-118.3998,2,1,0,19,1.0
6268,33.9983,-118.2728,1,1,0,4,1.0
6271,33.9393,-118.3668,10,2,0,14,0.0
6272,33.9953,-118.2858,0,2,0,5,1.0
6273,34.0443,-118.2698,7,3,0,0,1.0
6274,34.0443,-118.2698,4,3,0,0,0.0
6279,33.9883,-118.2728,7,1,0,5,1.0
6280,34.0443,-118.2698,3,1,0,0,0.0
6281,34.0443,-118.2698,11,2,0,0,1.0
6282,34.0243,-118.3638,10,2,0,9,0.0
6283,34.0363,-118.4238,2,2,0,15,0.0
6284,34.0393,-118.1028,0,2,0,16,1.0
6290,34.0223,-118.1038,1,3,0,16,1.0
6291,33.9703,-118.1258,9,4,0,16,1.0
6292,33.9833,-118.4228,9,4,0,16,0.0
6295,33.9933,-118.4188,4,4,0,15,1.0
6297,34.0443,-118.2698,5,1,0,0,0.0
6298,34.0413,-118.1848,5,1,0,8,0.0
6300,34.0443,-118.2698,11,2,0,0,0.0
6302,34.0443,-118.2698,3,2,0,0,0.0
6303,33.9073,-118.1518,3,2,0,18,1.0
6304,33.9353,-118.3178,2,2,0,11,0.0
6307,33.8733,-118.3288,10,3,0,18,0.0
6308,34.0443,-118.2698,8,3,0,0,0.0
6309,34.0443,-118.2698,8,3,0,0,1.0
6311,34.0443,-118.4748,6,3,0,20,0.0
6312,33.9933,-118.2668,3,3,0,5,0.0
6313,33.9853,-118.2828,1,3,0,6,0.0
6316,33.8963,-118.1188,9,1,0,21,0.0
6317,34.0093,-118.1418,8,1,0,13,1.0
6318,33.9213,-118.2388,7,1,0,12,0.0
6319,33.8613,-118.2748,2,1,0,18,0.0
6320,33.9013,-118.4188,1,1,0,20,0.0
6322,34.0323,-118.2028,9,2,0,6,0.0
